advertising_spend,store_visits,discount_pct,holiday_flag,competitor_price_index,season,sales
4288.34,687,12.23,0,0.801,Spring,21144.74
1610.79,1022,6.52,0,0.881,Autumn,17452.47
3863.88,1049,26.99,0,0.891,Autumn,33847.89
510.02,595,30.2,0,1.048,Winter,14517.85
4826.26,431,17.71,0,1.13,Spring,17893.61
7499.58,208,15.28,0,0.906,Summer,16765.43
4121.27,248,7.43,0,0.828,Spring,9713.09
6032.3,405,34.68,0,0.82,Winter,23496.77
5512.29,985,18.46,0,0.978,Spring,24999.28
5105.52,1177,14.41,0,1.0,Spring,30097.33
2775.51,230,24.42,0,1.081,Spring,10233.45
7488.28,1090,6.34,0,0.941,Spring,29211.26
5625.83,564,24.07,0,0.853,Summer,32003.82
7399.45,854,1.89,0,1.188,Autumn,24754.62
4173.37,533,14.18,0,0.843,Spring,7218.36
5022.03,496,27.76,1,0.997,Autumn,25753.96
5646.81,627,34.35,1,0.833,Winter,30228.87
2196.13,979,31.5,1,0.959,Winter,32128.63
7387.28,510,31.0,0,1.174,Spring,26563.22
3928.95,523,5.4,0,0.816,Spring,11259.02
3279.33,213,7.68,0,0.851,Spring,11753.8
5510.76,652,27.17,0,1.187,Winter,27121.78
2416.57,163,6.52,0,0.919,Spring,12626.59
3723.62,414,5.54,0,1.05,Summer,13758.99
2915.16,364,14.74,0,1.025,Summer,12739.82
6779.64,1075,25.84,0,1.056,Spring,39555.61
7854.18,534,17.38,0,1.176,Autumn,21546.39
3094.65,164,3.46,0,1.095,Autumn,10868.61
7247.6,414,2.92,0,1.131,Autumn,23617.5
1183.58,128,17.63,0,1.18,Autumn,9430.51
4844.27,837,12.64,1,0.867,Summer,29002.86
3001.17,569,6.68,1,0.95,Autumn,15538.09
7253.71,122,28.21,1,1.013,Winter,26965.11
7181.27,1184,19.57,1,1.18,Winter,40857.38
3692.97,419,12.99,1,0.821,Autumn,20815.98
5441.45,518,6.43,0,1.126,Winter,18608.18
5771.99,171,9.19,0,0.995,Spring,12874.45
1772.09,1137,30.13,0,1.099,Spring,28990.18
2208.27,1056,18.05,0,1.185,Autumn,26849.89
1631.92,477,1.57,0,0.839,Summer,12660.31
5242.58,1111,13.51,0,0.952,Winter,29026.65
4574.85,1087,31.32,0,1.137,Summer,39054.47
4619.25,423,21.38,0,1.025,Summer,22603.67
6674.21,1030,5.5,0,0.92,Spring,25960.82
7041.75,106,8.24,0,0.861,Winter,11486.31
7775.68,617,32.54,0,0.97,Winter,28676.11
1898.6,972,7.23,0,1.073,Summer,17778.78
5966.99,502,19.3,0,0.969,Spring,27254.2
6987.3,694,31.03,0,1.082,Spring,32547.3
6779.79,172,7.22,0,0.976,Autumn,15578.74
6027.86,775,9.29,0,0.892,Winter,24752.02
2880.03,668,28.68,0,0.996,Autumn,17878.89
3915.87,697,26.55,0,1.11,Summer,32919.17
2061.57,1087,30.96,0,1.031,Winter,21507.56
1617.45,382,34.88,0,0.891,Autumn,19907.73
907.15,145,22.56,0,1.046,Autumn,4160.41
4618.16,582,18.13,0,1.043,Autumn,18732.96
7974.36,1013,0.56,0,0.96,Spring,31704.89
803.34,885,1.22,0,0.998,Winter,14641.44
3500.25,1001,10.18,1,0.944,Summer,33312.19
6173.98,385,28.64,1,0.974,Spring,20088.23
1396.75,1069,22.09,0,1.0,Spring,27079.17
978.16,840,25.32,0,0.926,Winter,22689.43
1402.87,980,2.76,0,0.944,Winter,18538.52
5023.25,435,18.25,0,0.856,Summer,18134.15
4098.02,993,9.65,0,0.923,Winter,31006.4
4234.65,775,0.32,0,1.137,Autumn,20039.49
1442.9,668,5.83,0,1.196,Autumn,16027.84
1012.83,321,17.45,0,0.985,Spring,11025.07
3696.43,978,25.88,1,1.148,Summer,30488.71
5167.71,468,26.1,0,1.107,Autumn,19319.14
2950.29,347,18.96,0,0.84,Autumn,15993.48
1991.55,968,34.92,0,1.147,Autumn,24627.02
1709.16,979,22.86,0,0.803,Winter,21808.21
6361.34,129,23.85,0,1.133,Winter,14822.71
3667.08,778,9.42,0,0.953,Winter,23131.63
3613.96,567,34.81,0,0.991,Summer,26114.85
2787.92,403,11.44,0,1.151,Autumn,10111.63
628.5,1058,2.48,0,0.822,Autumn,22668.56
3038.25,245,6.39,1,0.914,Winter,14625.63
3653.07,1172,7.45,0,0.982,Summer,26766.79
7990.34,314,8.74,0,1.05,Summer,19026.34
6813.2,118,20.9,0,0.823,Winter,21004.2
7166.86,764,31.4,0,1.173,Summer,35382.85
6469.59,1062,29.93,0,1.137,Spring,36633.43
6360.98,601,30.16,0,0.962,Spring,26545.55
6038.86,407,28.39,0,0.957,Spring,24379.85
4467.42,456,14.08,0,1.049,Spring,20116.6
2570.59,652,33.76,1,0.952,Summer,28597.13
7766.02,442,11.96,1,0.842,Autumn,27300.41
1941.6,1106,28.27,1,0.987,Winter,38020.4
4825.44,348,8.1,0,0.987,Autumn,21678.68
4137.05,784,12.59,0,0.972,Summer,27938.99
1468.8,1162,17.7,0,1.043,Autumn,24819.68
4596.73,98,18.73,0,0.973,Spring,8546.17
5628.56,231,7.67,0,0.953,Autumn,6610.48
3801.27,574,28.73,0,1.107,Spring,21019.39
2833.46,887,26.05,0,1.082,Spring,16753.28
4030.35,420,13.89,0,0.893,Winter,20648.67
2711.57,944,20.79,0,0.882,Spring,24203.75
7801.8,238,24.19,0,1.156,Autumn,19945.44
7611.94,545,8.43,0,1.021,Summer,29889.75
2649.85,610,12.75,0,1.101,Winter,14322.65
6196.4,190,7.53,0,1.199,Spring,10764.49
5149.25,911,17.45,0,1.107,Autumn,20838.92
5731.92,1091,12.77,0,1.048,Summer,38603.62
845.28,762,20.41,0,0.947,Summer,17444.13
2154.5,368,29.42,0,1.116,Winter,14344.94
1652.82,564,27.87,1,1.121,Summer,22102.34
1602.66,117,17.89,0,0.86,Winter,11071.67
4360.98,701,30.91,0,1.082,Winter,23070.49
3143.72,235,29.8,0,1.131,Autumn,17096.27
1532.98,1101,10.68,0,1.143,Spring,22450.58
4711.3,969,29.38,0,1.136,Spring,24229.1
955.87,384,29.6,0,0.956,Summer,18877.07
1408.53,1044,16.96,0,0.805,Winter,19808.86
5102.35,887,30.54,1,1.023,Autumn,33059.95
931.68,557,7.25,0,0.948,Autumn,13279.59
5225.71,663,24.39,1,0.948,Summer,32973.72
4863.39,143,4.72,0,1.19,Autumn,12005.15
6804.82,805,9.37,0,1.064,Winter,26297.51
1778.01,775,27.01,0,1.028,Spring,21767.54
1534.04,1038,3.19,0,0.87,Spring,20259.43
4923.19,137,16.2,0,0.818,Winter,12289.14
1063.89,628,12.17,0,1.146,Summer,20219.94
2255.55,349,11.18,0,1.159,Winter,12566.43
2172.53,149,8.71,0,1.085,Autumn,2120.74
2990.79,341,2.83,0,1.184,Spring,10879.79
3395.17,898,26.54,0,1.166,Winter,20649.52
6202.33,838,21.75,0,1.065,Summer,28356.11
3004.38,425,26.95,0,0.876,Autumn,16751.38
6050.52,1054,19.48,0,1.195,Spring,33605.06
1710.5,530,14.14,0,0.822,Spring,15510.18
7222.91,142,22.88,0,0.993,Summer,22005.92
2732.1,1012,11.54,0,1.146,Winter,25068.68
1387.18,544,19.36,0,0.99,Autumn,19996.58
7955.11,117,28.06,0,1.122,Winter,21063.61
1709.16,924,17.12,0,0.818,Summer,24135.71
5613.53,1063,19.94,0,0.99,Summer,29671.6
7015.33,1111,29.96,0,0.964,Summer,42920.62
5917.23,222,14.09,1,0.887,Winter,16401.65
1225.22,1047,0.45,1,1.028,Winter,23490.29
1507.82,930,28.46,0,1.143,Summer,28075.47
6035.93,331,33.25,1,0.86,Winter,35005.49
3982.96,657,29.6,0,1.057,Spring,27073.01
5015.53,981,29.73,0,0.855,Winter,31698.85
714.5,901,33.08,0,0.808,Spring,24477.97
7668.1,144,16.53,0,1.196,Winter,16062.6
2263.92,641,21.99,0,0.989,Spring,14110.01
4504.67,893,20.6,1,1.002,Autumn,25723.88
1118.46,709,16.41,1,0.945,Spring,26658.73
7289.4,238,16.45,1,0.831,Winter,26618.29
4009.93,593,0.96,0,1.153,Autumn,13596.54
6292.57,747,29.47,0,1.006,Spring,30818.68
5287.19,737,7.82,1,1.076,Autumn,24894.26
6666.04,697,25.4,1,1.154,Spring,27645.48
7859.43,480,12.83,0,1.056,Winter,23908.37
7318.23,965,0.27,0,0.846,Spring,20858.63
6352.51,1169,19.5,0,1.038,Spring,33625.92
4898.69,351,13.15,0,0.979,Autumn,9808.38
6745.71,486,34.06,0,1.038,Spring,20580.26
7175.78,363,2.44,0,0.933,Winter,12992.74
4362.32,92,16.48,0,1.122,Winter,7642.95
7229.18,186,7.61,0,0.859,Summer,15691.51
7434.09,858,31.97,0,1.176,Winter,34353.07
4587.02,453,32.8,0,1.014,Spring,22602.18
5084.37,403,0.38,0,0.919,Winter,18336.92
1938.76,418,21.31,0,0.88,Autumn,13840.34
2256.34,570,22.83,0,0.998,Autumn,19229.24
1917.82,1138,19.06,1,0.871,Autumn,31488.95
7803.76,626,14.1,0,1.11,Autumn,29451.68
2986.13,1154,3.28,0,0.847,Summer,23642.2
6487.6,666,29.19,0,1.035,Spring,27497.05
4839.81,1195,5.85,0,0.829,Winter,25089.89
3622.98,80,31.7,0,1.07,Summer,17422.38
5103.77,1159,22.5,0,0.884,Autumn,33275.35
7674.18,595,8.85,0,0.851,Autumn,19329.42
3607.82,1143,32.06,0,1.18,Summer,37388.53
5960.85,135,8.14,0,1.039,Winter,9540.4
522.75,950,8.27,0,1.176,Spring,15988.01
4973.09,346,4.7,0,1.133,Summer,16604.31
1994.0,957,29.5,0,0.902,Spring,23885.6
5866.77,1171,2.44,0,0.84,Autumn,26756.96
7229.95,363,4.31,0,1.015,Summer,23846.62
6920.86,1056,11.14,1,1.075,Autumn,38774.74
2726.47,138,31.46,0,0.983,Autumn,17531.77
4571.12,568,16.26,0,1.17,Winter,14395.25
2902.5,786,25.69,0,0.976,Summer,26635.52
3031.79,389,21.97,0,1.192,Autumn,12856.1
6514.53,204,3.34,0,1.104,Winter,21358.51
5099.46,217,3.58,0,1.042,Spring,10479.51
6651.47,466,0.45,0,0.953,Winter,20782.56
4838.08,529,21.92,0,0.829,Spring,26032.66
4213.61,767,25.1,0,1.048,Spring,30540.25
4343.77,263,31.17,0,0.882,Autumn,12947.4
7212.24,764,9.09,1,1.123,Summer,33335.83
2418.96,302,14.49,0,0.875,Spring,16069.7
3489.34,951,17.21,0,1.101,Autumn,31345.83
1538.33,676,6.1,0,1.02,Autumn,10494.92
7417.66,1163,21.65,0,0.874,Spring,32999.51
6734.61,809,2.15,0,0.988,Autumn,31697.08
6118.72,1005,33.75,0,0.847,Winter,33406.43
4119.17,687,13.0,1,1.049,Spring,20363.81
2386.97,772,32.49,0,1.03,Autumn,24746.32
7843.27,391,9.48,0,1.152,Spring,25546.01
792.4,718,20.23,0,0.886,Winter,22948.82
2602.6,749,19.18,0,1.191,Summer,23517.43
1490.07,190,26.09,0,0.942,Winter,13198.36
3637.9,748,15.98,1,0.902,Winter,33694.08
1577.56,173,12.04,1,0.917,Summer,18774.73
4797.29,216,8.06,0,0.89,Spring,9938.88
7088.28,827,8.52,0,1.093,Summer,30614.98
7670.73,527,4.5,0,1.17,Winter,21929.74
2493.98,183,27.54,0,1.147,Spring,5830.57
6926.19,355,2.21,1,1.068,Summer,25904.39
3825.5,1006,14.45,0,1.093,Autumn,25199.92
7547.68,222,4.86,0,1.098,Winter,16579.94
5306.24,384,19.58,1,1.146,Autumn,22641.45
4485.98,642,0.86,0,1.115,Summer,22075.51
1046.98,417,3.6,1,1.189,Summer,15130.85
2426.2,115,12.82,0,0.968,Spring,12410.69
6426.89,379,2.74,0,1.006,Summer,19892.13
3614.82,805,13.59,0,0.995,Summer,27528.37
1685.92,449,6.79,0,0.98,Autumn,13396.62
1766.44,121,23.86,0,1.199,Spring,11537.17
5943.09,996,26.69,0,0.991,Spring,35658.86
7803.98,780,16.31,0,0.971,Summer,36789.0
4330.82,553,32.17,0,0.85,Autumn,17071.48
6873.73,716,28.81,1,1.113,Autumn,38148.13
5263.01,431,15.72,1,1.159,Spring,20355.77
7986.03,587,3.48,0,1.01,Autumn,24412.0
3935.46,201,34.92,1,1.105,Autumn,23926.22
2293.77,225,13.43,0,1.152,Spring,10343.98
6076.41,537,11.61,0,0.823,Summer,22830.11
6378.91,441,9.29,1,0.816,Autumn,24909.72
6347.03,452,27.81,0,1.05,Spring,20809.55
1339.17,1062,1.29,0,1.072,Spring,22775.79
1256.57,1187,18.84,1,0.892,Winter,31369.99
4223.48,233,11.76,0,1.109,Summer,18513.95
1059.77,546,27.67,0,1.134,Spring,16379.53
6890.65,490,26.8,0,0.965,Winter,27765.99
7093.66,658,6.04,0,0.834,Spring,13739.36
3079.24,165,17.79,0,1.073,Spring,11320.81
7153.83,780,32.13,0,1.144,Autumn,27504.32
2683.45,304,21.27,1,0.846,Spring,12347.34
5163.09,504,22.84,0,0.974,Winter,25274.55
3580.68,500,24.69,0,0.855,Winter,13691.65
6394.44,969,9.6,0,1.002,Summer,27867.08
5681.14,839,4.13,0,1.194,Summer,26505.36
830.3,759,26.55,0,1.035,Autumn,15351.71
1929.19,298,16.98,0,0.971,Winter,12096.55
6522.58,903,5.66,0,1.116,Spring,18291.94
2257.33,231,33.69,0,0.852,Spring,8488.96
1683.26,1143,15.43,0,1.148,Spring,23098.34
4586.64,1067,24.58,0,1.022,Autumn,27351.26
7185.43,1187,12.93,1,1.025,Autumn,41758.17
7570.44,502,33.1,0,1.022,Autumn,27505.61
2746.65,86,25.04,0,1.099,Autumn,13120.2
2551.21,1181,6.96,1,0.999,Winter,33460.47
4574.61,483,19.07,0,0.835,Autumn,16247.36
3800.22,159,6.91,0,1.187,Spring,1026.14
7390.22,160,14.68,0,0.961,Winter,27615.6
7170.7,576,31.6,0,1.108,Winter,34247.83
1886.84,450,26.19,0,0.889,Autumn,16976.49
6871.1,1110,27.74,0,1.101,Summer,37857.56
2206.62,861,10.42,0,0.994,Summer,23045.66
2395.04,657,0.2,0,0.847,Autumn,13465.25
7823.19,1120,14.09,0,1.013,Winter,35126.64
500.5,673,5.4,0,0.88,Spring,10717.35
2404.21,884,9.66,0,1.051,Winter,24269.89
1067.41,442,18.0,0,1.167,Autumn,8896.34
5336.42,1191,22.27,0,1.02,Spring,40581.55
1188.43,623,22.26,0,1.042,Winter,16354.65
4250.26,854,28.16,0,0.835,Autumn,28286.85
816.19,1125,32.78,0,0.921,Autumn,28543.04
1056.9,317,15.74,1,1.137,Winter,20814.64
4643.91,1046,28.66,0,0.897,Winter,34936.74
7176.56,649,17.3,0,1.05,Autumn,24724.38
621.49,890,6.87,0,1.057,Autumn,17196.07
6023.05,947,32.54,1,1.036,Winter,34947.77
4755.03,790,8.16,0,0.851,Autumn,20996.76
7018.89,692,12.85,0,0.864,Winter,31807.93
2871.44,999,8.86,0,0.808,Autumn,23808.9
5246.71,692,29.22,0,1.133,Spring,21658.89
1659.51,588,25.23,1,1.129,Summer,20354.19
4027.27,353,19.91,0,0.987,Autumn,17358.73
4448.87,526,33.93,0,1.043,Spring,23149.32
4490.99,1052,17.07,0,0.808,Autumn,32533.96
6818.8,765,29.79,0,0.819,Summer,39139.69
1641.15,1005,32.87,0,1.139,Autumn,31229.41
5254.52,723,13.49,0,1.183,Summer,17365.08
4683.05,401,13.32,0,1.08,Spring,13863.69
6048.45,1128,34.6,0,1.166,Summer,35031.59
7334.63,1139,15.2,0,1.124,Summer,37653.94
7627.76,543,26.88,0,1.078,Autumn,21956.81
4690.22,256,29.5,0,0.936,Winter,24982.04
1419.49,590,28.44,1,0.935,Autumn,25623.07
1858.3,625,6.18,0,1.032,Spring,15416.5
2460.07,888,7.13,0,0.889,Spring,15453.57
5654.05,478,33.63,0,0.805,Spring,20548.93
7293.96,100,26.58,1,0.843,Summer,21330.22
5420.47,918,32.93,0,1.094,Spring,33646.12
1818.44,600,1.98,0,0.906,Autumn,16029.11
5991.16,951,19.76,0,0.812,Summer,33667.56
1196.1,975,9.62,0,1.071,Winter,18707.83
3117.65,435,11.59,0,0.875,Winter,14496.4
2462.82,515,30.64,0,0.865,Autumn,19068.05
5057.27,1045,17.53,1,0.856,Autumn,35427.36
5906.54,783,7.18,1,0.946,Winter,22613.32
4695.27,119,0.74,0,1.181,Autumn,7474.44
1013.09,692,11.63,1,1.082,Autumn,15925.5
7695.28,159,4.95,1,0.973,Summer,21157.09
2192.54,1121,26.06,0,0.979,Autumn,32306.51
1819.37,903,2.46,0,0.964,Summer,21290.36
6409.45,93,23.26,0,1.044,Winter,10847.27
5648.43,1174,8.4,0,1.049,Summer,35926.57
1866.74,308,13.47,0,1.149,Autumn,4004.34
6705.43,446,33.79,0,1.172,Spring,16439.96
1598.92,655,1.77,0,0.839,Autumn,11371.11
5084.43,1053,10.2,1,0.924,Spring,30758.37
7296.11,166,21.26,0,0.938,Spring,17307.3
5080.4,778,3.28,0,1.126,Winter,30191.27
1911.07,1044,21.54,0,0.815,Summer,24511.24
2217.41,157,26.13,1,1.179,Spring,16300.95
3262.26,924,9.75,0,1.003,Winter,16716.77
1973.69,1101,20.0,0,0.853,Winter,29617.45
3882.01,592,29.91,0,0.894,Summer,24051.5
4781.12,1092,31.45,0,0.932,Summer,39306.71
1694.67,695,1.81,0,1.06,Autumn,18046.43
2636.74,785,27.82,1,0.814,Spring,27537.61
3732.17,292,11.03,0,1.01,Autumn,16980.17
893.01,1075,27.84,0,1.111,Summer,28188.11
5876.13,945,13.7,0,0.848,Summer,32172.13
5161.6,1199,27.32,1,0.893,Summer,41220.12
5353.11,819,18.2,0,0.854,Summer,27298.21
2585.43,910,34.36,0,0.934,Spring,25826.36
5563.75,1137,19.39,0,0.81,Spring,34444.09
7179.41,674,29.46,0,1.18,Autumn,27630.15
1348.57,250,9.32,0,0.911,Autumn,6755.9
783.89,1154,32.95,1,0.97,Winter,34201.36
914.78,712,8.26,0,0.917,Winter,15758.43
6460.1,155,16.61,0,1.2,Spring,16482.92
7840.91,1154,26.22,1,0.94,Spring,41076.36
718.1,1102,24.73,0,0.934,Spring,24798.32
3054.51,883,6.61,0,1.165,Autumn,19254.04
2204.48,1182,6.43,0,1.135,Autumn,21617.74
3390.29,643,34.06,0,0.916,Spring,27636.25
7712.03,1131,10.0,1,0.82,Spring,40211.51
7921.59,282,18.9,0,0.829,Spring,27560.91
2187.51,762,34.22,0,1.014,Spring,21711.55
3450.05,945,30.75,0,1.111,Autumn,33920.92
3362.57,222,18.93,0,0.986,Spring,14915.01
1821.51,110,20.75,0,1.086,Winter,10165.84
6441.46,836,21.7,0,1.101,Summer,32367.71
4082.93,554,27.53,0,1.09,Winter,23926.96
7744.18,948,3.39,1,0.838,Autumn,34274.02
2587.76,396,23.96,0,1.188,Autumn,6467.42
6753.4,843,27.7,1,1.118,Autumn,41912.22
2617.74,495,2.1,0,1.018,Summer,11618.65
1508.13,985,16.7,0,1.052,Autumn,24283.1
3654.82,868,15.05,0,0.915,Spring,25114.58
3421.73,292,28.88,1,1.08,Spring,19699.05
3877.42,449,26.18,0,0.923,Autumn,21926.69
6657.05,103,22.49,0,1.173,Autumn,19105.63
4862.23,284,1.1,0,0.926,Spring,7264.44
4691.33,1137,4.73,0,1.013,Summer,24893.14
2116.69,298,15.04,0,1.135,Spring,6213.38
7176.99,414,29.32,0,1.128,Summer,25829.94
2077.03,296,27.36,0,1.159,Winter,10134.02
2485.14,293,15.78,0,1.147,Summer,15299.93
4045.13,837,33.21,0,1.148,Winter,34651.86
7480.35,942,28.58,0,0.819,Autumn,41539.49
5499.89,97,24.1,0,0.943,Winter,8260.88
3371.73,464,16.83,0,0.945,Spring,15741.53
3352.87,302,5.01,0,1.001,Spring,7720.11
508.76,389,4.16,1,1.022,Summer,13897.7
5840.66,607,6.66,0,1.151,Winter,22872.16
706.63,338,4.02,0,0.989,Autumn,6164.87
3562.63,1000,32.02,0,1.078,Winter,28005.25
6600.38,632,32.22,1,0.868,Autumn,33415.17
5811.52,881,25.71,0,1.095,Autumn,31682.48
7668.38,806,6.81,0,0.857,Autumn,25894.77
931.97,520,13.01,0,0.857,Winter,12041.69
7981.02,993,21.92,0,0.977,Winter,39957.29
2282.72,912,33.11,0,1.169,Summer,28411.39
3655.86,384,21.61,0,1.156,Winter,11115.17
