area_sqft,bedrooms,bathrooms,floors,house_age,distance_to_city_km,school_rating,crime_index,garage_spaces,neighborhood,condition,price
1633,3,1,2,37,11.26,6.16,1.91,3,Suburban,Standard,450075.0
3421,2,4,3,21,9.68,8.38,5.83,1,Suburban,Standard,837409.0
2622,4,4,3,1,25.18,4.07,5.21,0,Suburban,Standard,684624.0
2279,5,4,1,24,23.32,8.56,3.94,2,Premium,Renovated,726428.0
2444,5,1,3,31,16.34,2.02,1.99,3,Suburban,Standard,642399.0
2669,2,4,1,4,22.5,6.96,9.83,3,Urban,Standard,653460.0
782,4,3,2,4,6.42,9.48,2.58,2,Family,Renovated,413566.0
1146,3,3,1,10,23.89,8.3,2.73,3,Family,Standard,336357.0
1521,3,1,3,33,10.2,8.83,2.31,1,Suburban,Standard,436861.0
1056,2,4,1,21,10.28,5.18,6.13,1,Suburban,Needs Work,259654.0
2210,1,2,2,39,6.51,8.59,4.99,1,Urban,Standard,573585.0
3022,2,1,2,34,12.3,6.41,3.25,1,Urban,Standard,672569.0
2973,3,1,3,22,12.26,6.95,4.86,2,Suburban,Renovated,791096.0
2322,5,2,3,27,16.44,2.47,7.06,3,Family,Standard,537816.0
3685,5,1,1,13,7.47,3.61,3.54,1,Premium,Needs Work,909178.0
2656,1,2,3,3,7.56,6.41,9.24,0,Suburban,Renovated,674607.0
931,4,2,1,15,19.42,2.47,3.76,3,Family,Renovated,322098.0
3365,1,4,2,23,5.38,7.93,2.78,3,Suburban,Standard,901711.0
2689,4,1,2,7,24.42,8.72,9.59,3,Suburban,Standard,628390.0
2903,2,3,2,8,33.09,9.36,8.3,1,Suburban,Standard,721572.0
2657,3,4,3,0,15.51,2.81,4.09,2,Urban,Standard,669397.0
2615,4,4,3,29,31.64,9.52,8.57,2,Family,Needs Work,601038.0
971,3,4,2,35,4.34,2.54,5.67,3,Suburban,Standard,238014.0
2635,5,1,3,33,2.46,5.79,4.12,3,Premium,Renovated,811055.0
3471,3,4,1,15,25.53,8.72,8.56,3,Suburban,Standard,844767.0
1729,5,4,1,23,26.87,2.56,7.77,1,Family,Standard,392095.0
2790,4,2,2,38,29.66,2.15,3.68,0,Premium,Needs Work,587000.0
759,2,2,2,23,2.93,2.2,6.46,0,Suburban,Renovated,220882.0
1883,4,3,3,11,27.41,6.09,4.32,3,Urban,Needs Work,461469.0
2200,3,2,3,13,13.8,8.49,1.01,3,Family,Standard,664886.0
4138,3,2,1,29,11.31,3.02,9.66,0,Suburban,Standard,877290.0
1411,1,4,1,17,6.88,3.0,5.95,1,Suburban,Needs Work,337050.0
1631,1,4,3,33,34.86,6.55,6.39,0,Family,Standard,365949.0
2100,3,2,2,34,3.16,3.87,6.4,1,Urban,Renovated,511437.0
4173,1,4,1,1,29.12,7.84,5.96,2,Suburban,Standard,965265.0
3679,5,2,3,28,22.74,9.6,3.61,2,Suburban,Standard,934643.0
773,5,4,2,14,25.99,8.13,9.74,1,Suburban,Standard,243774.0
1480,4,3,3,20,25.2,9.02,6.6,1,Suburban,Standard,440846.0
3566,4,2,3,10,30.19,6.16,7.04,2,Suburban,Standard,786322.0
856,3,1,3,14,7.25,8.66,5.09,2,Urban,Standard,285464.0
3687,1,3,2,13,1.03,3.46,3.59,0,Urban,Standard,807387.0
1648,2,2,3,2,21.35,2.55,1.58,0,Urban,Standard,390605.0
3907,3,1,3,31,13.03,7.25,4.15,1,Family,Renovated,978038.0
1692,5,1,1,5,5.21,2.42,2.58,1,Suburban,Standard,479656.0
2191,2,4,1,15,7.33,9.14,6.96,3,Suburban,Renovated,686367.0
2999,3,1,1,7,12.28,7.53,8.91,3,Suburban,Needs Work,755860.0
1098,2,4,2,6,3.39,9.62,3.72,2,Premium,Standard,538337.0
2627,1,4,2,14,2.94,4.51,4.0,0,Urban,Standard,635773.0
2442,1,1,1,36,32.14,5.89,7.03,0,Suburban,Standard,424383.0
3432,2,3,2,37,11.61,7.93,2.34,1,Premium,Renovated,937258.0
4186,1,3,1,15,34.4,3.94,9.36,2,Suburban,Standard,826664.0
3008,1,2,2,20,33.79,6.33,4.27,2,Family,Standard,631318.0
2102,2,3,2,39,5.85,7.28,1.91,0,Family,Renovated,617789.0
2092,2,2,2,9,25.31,9.83,2.57,3,Family,Standard,605922.0
2133,3,2,2,37,21.43,7.96,9.39,1,Urban,Standard,406708.0
3539,1,2,2,4,24.48,2.95,3.22,2,Urban,Standard,742390.0
1790,2,4,3,9,4.27,5.8,6.96,0,Urban,Renovated,517224.0
1242,3,3,3,13,7.41,6.71,2.41,3,Family,Standard,470710.0
1836,5,2,3,1,3.61,3.17,2.75,2,Family,Standard,595839.0
730,4,4,2,32,21.54,5.46,8.91,0,Family,Renovated,294498.0
1026,5,4,2,34,34.54,4.27,2.33,1,Suburban,Standard,276387.0
969,2,4,1,15,23.85,2.95,1.17,1,Family,Renovated,298149.0
3389,3,3,2,33,25.17,6.1,5.51,0,Suburban,Renovated,803378.0
3214,3,2,1,30,34.48,3.33,8.76,3,Family,Standard,601744.0
3123,5,4,2,32,24.05,6.72,3.93,3,Suburban,Renovated,828087.0
2289,5,2,1,32,2.37,3.36,2.15,3,Urban,Standard,583431.0
3195,5,2,2,22,30.48,7.79,9.84,1,Urban,Needs Work,593777.0
1222,4,2,3,4,13.4,3.56,7.09,2,Family,Standard,356732.0
3847,3,4,3,36,1.15,9.17,8.66,1,Suburban,Standard,964659.0
2428,3,3,2,24,18.25,2.21,7.77,1,Suburban,Standard,562671.0
3980,5,2,1,36,32.86,6.18,7.28,2,Suburban,Standard,853232.0
1190,2,2,1,38,9.75,4.56,4.46,1,Suburban,Standard,261095.0
2415,2,2,1,7,17.71,3.8,3.92,3,Family,Standard,572857.0
3121,5,3,3,16,6.91,5.77,7.45,0,Urban,Needs Work,691913.0
2409,2,2,3,7,2.96,8.74,7.45,0,Urban,Renovated,632388.0
2233,2,3,2,2,3.74,9.32,9.56,3,Family,Standard,655484.0
1240,3,2,1,38,25.72,4.43,6.12,3,Suburban,Needs Work,230081.0
2002,2,2,1,36,30.38,3.23,3.65,3,Urban,Standard,403131.0
1497,5,4,3,37,5.87,7.76,5.41,1,Urban,Standard,421369.0
1720,5,2,1,35,10.8,6.66,6.52,1,Urban,Standard,421058.0
3077,2,1,1,25,7.63,3.61,4.84,0,Suburban,Standard,663899.0
2887,3,2,1,20,1.91,8.08,8.12,1,Urban,Needs Work,695492.0
2805,5,3,1,39,19.82,6.15,6.26,2,Urban,Renovated,691695.0
1934,4,1,2,22,24.8,7.23,1.08,1,Premium,Standard,583520.0
4056,2,2,3,25,23.03,4.87,6.13,1,Family,Needs Work,879383.0
961,3,1,1,8,14.19,5.51,6.7,0,Family,Renovated,274175.0
1866,4,3,3,29,19.87,3.44,9.24,1,Suburban,Standard,457750.0
1068,4,3,1,32,4.2,8.05,4.72,2,Suburban,Standard,364477.0
1853,1,4,1,27,6.25,3.26,6.17,2,Family,Standard,423389.0
4064,2,2,1,19,32.68,8.23,5.27,2,Family,Standard,910735.0
1950,5,4,3,7,26.89,8.38,5.78,3,Suburban,Standard,561166.0
3875,2,1,2,1,32.37,7.97,1.61,0,Suburban,Needs Work,881984.0
2407,2,4,3,25,32.17,2.16,9.08,1,Suburban,Standard,483330.0
3133,2,3,1,27,23.08,4.19,9.19,2,Suburban,Renovated,715542.0
2273,1,4,1,30,32.56,5.75,5.93,1,Suburban,Standard,482592.0
1593,1,4,3,38,15.17,6.76,6.01,3,Urban,Standard,403767.0
3363,2,3,1,19,1.12,9.35,1.52,0,Family,Standard,907328.0
4090,5,2,1,33,3.13,5.0,6.38,0,Suburban,Standard,936353.0
1585,1,3,2,28,4.72,9.0,4.86,1,Suburban,Standard,455724.0
3414,2,4,2,11,4.24,3.31,7.38,1,Urban,Standard,809937.0
1577,1,4,1,33,12.96,4.97,1.42,3,Family,Standard,432684.0
3194,3,4,2,2,24.84,2.42,7.4,1,Premium,Standard,778805.0
3450,2,1,3,23,27.88,7.94,3.58,1,Urban,Standard,754618.0
2245,4,3,2,37,21.07,3.21,6.87,0,Suburban,Needs Work,497276.0
3266,3,1,2,26,5.98,4.06,6.64,1,Premium,Needs Work,755857.0
1616,4,3,1,37,26.43,8.2,3.04,2,Family,Standard,421237.0
931,4,4,2,2,13.06,6.28,4.96,2,Urban,Standard,316416.0
992,3,1,3,21,1.44,2.11,8.52,2,Family,Standard,250658.0
2236,5,3,2,31,10.54,2.02,6.45,1,Suburban,Standard,557225.0
3854,3,4,3,25,12.24,6.09,1.62,0,Urban,Standard,963074.0
1102,5,4,1,35,10.32,4.44,4.99,0,Urban,Renovated,348207.0
2268,5,2,1,18,28.6,3.44,3.81,0,Urban,Standard,513822.0
3149,3,1,2,27,26.84,6.91,6.77,2,Suburban,Standard,708177.0
1368,4,4,1,16,24.65,3.83,6.53,3,Suburban,Standard,400592.0
3211,2,4,2,34,5.73,6.74,1.09,3,Premium,Standard,937672.0
1736,5,3,3,4,28.47,5.03,6.47,1,Urban,Needs Work,452120.0
3520,4,4,2,10,24.02,3.49,7.61,0,Family,Standard,792233.0
2706,5,1,2,3,7.62,3.1,7.92,2,Urban,Renovated,641129.0
2591,2,3,3,28,23.04,3.89,1.53,0,Suburban,Standard,623299.0
1277,4,1,1,9,17.44,2.24,3.73,2,Family,Renovated,373965.0
2294,3,4,3,12,15.94,4.47,4.79,1,Family,Standard,641778.0
3690,1,3,1,33,4.81,9.22,2.62,3,Premium,Standard,1026567.0
719,1,4,3,14,18.62,8.65,4.79,2,Premium,Needs Work,378292.0
3342,3,3,2,5,4.4,4.98,1.64,2,Urban,Standard,885183.0
2399,2,1,1,0,6.58,6.61,2.02,1,Urban,Needs Work,598352.0
3204,1,1,3,9,5.51,6.54,7.02,3,Suburban,Standard,748366.0
3004,3,2,1,36,33.44,8.63,3.36,2,Urban,Standard,663941.0
2183,4,3,2,21,10.69,3.89,7.4,2,Suburban,Standard,541729.0
1745,2,1,3,39,13.08,4.37,1.43,1,Urban,Standard,398833.0
2876,5,4,3,8,11.95,4.41,6.06,1,Family,Needs Work,731580.0
1147,4,1,3,14,31.54,2.33,4.52,3,Family,Standard,272813.0
2723,3,2,2,6,20.14,4.52,8.17,1,Family,Renovated,645160.0
986,5,1,2,15,32.25,9.02,8.06,0,Premium,Needs Work,315022.0
2956,3,2,1,22,11.2,9.3,4.38,1,Urban,Standard,663728.0
2882,1,2,3,32,4.9,2.88,6.6,1,Urban,Standard,613900.0
949,1,1,2,14,19.91,5.66,3.05,1,Premium,Standard,340710.0
3339,5,3,3,30,12.75,5.05,6.22,0,Premium,Standard,911269.0
2126,5,4,2,25,28.26,5.91,1.73,0,Suburban,Standard,590165.0
3443,4,4,3,11,30.9,6.44,4.91,1,Suburban,Standard,887340.0
797,1,2,1,36,17.07,2.16,2.64,1,Suburban,Standard,166502.0
1287,2,4,3,17,34.03,8.74,8.95,0,Urban,Standard,300228.0
2403,1,4,1,6,19.8,9.79,5.0,1,Suburban,Renovated,698127.0
1318,1,4,1,38,10.21,7.23,6.32,1,Suburban,Renovated,389412.0
1821,2,2,2,36,17.63,7.28,4.24,0,Premium,Needs Work,447105.0
2995,3,4,2,1,2.27,6.22,3.6,1,Family,Standard,823020.0
1163,1,3,3,36,28.34,4.67,2.83,1,Suburban,Standard,241042.0
3055,5,1,2,37,4.45,3.19,9.21,0,Premium,Standard,737659.0
1017,3,2,1,33,11.5,6.67,8.2,3,Family,Standard,273113.0
1271,2,3,1,10,20.22,2.36,2.2,0,Urban,Standard,288896.0
2736,3,1,2,25,2.46,8.6,7.72,2,Premium,Standard,739983.0
3466,4,2,2,21,3.7,5.37,4.77,2,Suburban,Standard,884147.0
1255,2,4,2,24,24.67,5.32,1.14,3,Suburban,Standard,403052.0
1714,1,1,1,24,3.44,4.62,5.76,2,Urban,Renovated,388787.0
3934,1,2,2,25,17.22,9.75,2.17,2,Family,Renovated,946743.0
4163,5,1,2,20,12.52,3.4,2.89,3,Family,Needs Work,972030.0
2712,1,3,3,27,8.75,3.21,7.26,3,Urban,Standard,568478.0
2236,4,1,2,21,7.42,3.32,3.31,0,Urban,Standard,539533.0
1881,2,4,3,0,26.96,7.27,9.03,3,Urban,Standard,523283.0
2824,4,1,1,1,33.35,9.94,6.91,1,Family,Standard,708552.0
2747,1,4,3,38,5.77,3.88,8.49,0,Suburban,Renovated,670398.0
1696,5,4,1,36,33.63,9.24,6.54,2,Urban,Needs Work,411798.0
730,4,4,1,23,21.22,4.23,8.82,3,Family,Standard,268572.0
1187,3,4,3,6,22.82,7.18,4.26,0,Suburban,Renovated,373191.0
4052,2,1,2,31,25.14,2.32,5.94,0,Suburban,Standard,785741.0
2134,5,4,2,5,24.94,5.97,5.64,3,Suburban,Needs Work,600322.0
2362,2,3,2,15,28.87,7.24,9.13,2,Suburban,Standard,534942.0
2308,3,4,3,13,17.44,6.29,2.48,0,Suburban,Renovated,708047.0
3428,2,4,1,0,19.13,3.9,6.2,3,Suburban,Standard,825127.0
880,2,3,1,32,12.01,8.63,7.79,1,Suburban,Renovated,305502.0
943,3,2,1,20,4.58,9.76,4.33,1,Family,Standard,351051.0
1629,1,1,3,12,23.6,5.67,8.81,1,Suburban,Needs Work,302260.0
2377,1,1,1,20,2.14,7.09,4.36,2,Family,Standard,582013.0
3032,2,2,2,0,10.37,8.32,2.56,0,Suburban,Renovated,846313.0
2392,1,4,2,17,4.2,3.93,6.26,1,Family,Renovated,608945.0
2216,3,3,1,20,7.48,8.92,4.79,1,Suburban,Standard,653118.0
3979,5,2,2,13,22.72,4.24,1.14,0,Family,Needs Work,923916.0
1221,1,1,1,33,22.37,8.21,1.63,3,Suburban,Renovated,383643.0
2679,1,3,1,9,15.32,2.9,2.76,0,Urban,Standard,570449.0
2574,1,3,1,5,4.07,4.31,7.92,3,Urban,Needs Work,543565.0
2330,3,4,3,21,15.73,6.27,9.03,0,Urban,Renovated,586251.0
3516,2,3,2,35,12.99,6.2,5.91,1,Family,Standard,872547.0
1597,3,3,3,15,25.5,8.8,1.95,0,Family,Standard,505432.0
4035,1,4,2,1,20.69,9.97,5.81,1,Family,Needs Work,950416.0
1827,2,2,1,38,17.71,2.86,8.7,2,Urban,Needs Work,302417.0
2584,3,4,2,17,17.56,4.17,7.75,0,Family,Renovated,653177.0
2498,3,2,3,6,33.85,4.86,3.62,2,Premium,Standard,619018.0
3666,3,1,2,24,26.71,5.83,2.12,3,Suburban,Needs Work,845173.0
2208,4,2,1,12,17.9,5.95,9.11,1,Suburban,Standard,523759.0
1660,3,1,1,37,17.29,8.85,8.69,0,Premium,Standard,426532.0
726,5,1,3,11,1.9,8.16,1.48,2,Urban,Needs Work,330979.0
1941,3,4,2,22,33.05,2.15,8.41,0,Suburban,Standard,416246.0
3583,2,4,3,21,11.85,5.64,1.87,0,Premium,Standard,937552.0
685,2,1,2,9,9.7,6.94,1.57,1,Urban,Standard,212011.0
3831,2,4,1,19,34.98,5.68,7.83,1,Suburban,Standard,826441.0
2577,3,1,3,4,25.44,3.05,5.83,0,Suburban,Standard,514508.0
1147,2,2,3,25,2.61,5.18,4.73,3,Premium,Standard,418158.0
1722,5,3,3,30,3.1,5.29,9.13,2,Family,Needs Work,482311.0
2616,3,2,3,38,1.87,3.5,8.55,3,Family,Needs Work,590551.0
1770,5,3,1,13,21.39,8.05,1.52,1,Premium,Needs Work,602684.0
1035,4,4,3,11,3.43,4.57,6.54,1,Suburban,Standard,404910.0
3014,2,1,1,21,32.74,6.71,7.95,3,Premium,Standard,742591.0
3036,2,1,3,27,32.85,6.13,5.95,0,Suburban,Needs Work,577802.0
1072,4,4,1,39,19.57,9.02,9.85,1,Urban,Renovated,320782.0
1648,2,3,2,1,21.97,2.98,7.17,3,Premium,Standard,458268.0
1515,2,3,3,9,10.92,2.91,1.94,1,Premium,Needs Work,495303.0
2990,5,2,1,10,3.18,4.4,2.78,3,Suburban,Needs Work,779670.0
3242,3,2,1,10,26.07,5.45,8.44,1,Family,Standard,741051.0
3230,1,3,3,18,4.46,4.39,9.97,1,Premium,Needs Work,755772.0
3982,3,3,1,34,3.91,8.11,1.89,3,Suburban,Standard,1055943.0
3378,3,1,2,1,11.58,3.96,1.9,0,Urban,Needs Work,777847.0
1788,5,3,3,32,1.42,2.68,7.87,3,Urban,Renovated,499855.0
1032,4,3,2,24,15.76,5.31,1.58,0,Suburban,Standard,359225.0
2831,1,1,2,24,25.06,8.19,1.62,1,Suburban,Standard,666330.0
3901,1,2,2,27,28.25,8.8,9.0,2,Urban,Renovated,850884.0
4111,4,4,2,4,21.55,7.87,8.2,2,Urban,Standard,981888.0
1467,1,3,2,29,29.79,6.46,8.93,3,Urban,Renovated,302772.0
1489,2,1,2,9,14.82,7.79,6.85,3,Family,Renovated,429813.0
782,1,1,1,20,29.86,7.45,3.9,2,Family,Standard,138608.0
1151,1,3,2,27,18.22,3.87,9.16,2,Suburban,Needs Work,237580.0
2619,5,2,3,24,8.58,6.41,3.69,1,Urban,Standard,651224.0
2591,1,4,3,12,33.1,8.16,3.48,3,Urban,Standard,633590.0
1966,1,3,1,15,10.35,4.54,8.98,2,Urban,Standard,452358.0
1750,5,4,3,19,1.89,7.23,7.13,0,Suburban,Standard,585385.0
3595,1,1,3,1,9.25,5.85,9.06,3,Urban,Standard,767379.0
2283,5,2,1,29,13.47,6.03,2.4,1,Suburban,Renovated,634926.0
3519,1,1,3,3,12.95,2.72,9.57,1,Family,Standard,749326.0
4069,1,3,2,18,18.84,7.33,6.51,1,Suburban,Standard,932396.0
1775,1,1,2,26,31.03,8.93,7.01,3,Family,Standard,416826.0
1369,4,2,3,3,10.94,3.13,9.23,1,Urban,Renovated,355443.0
4032,4,2,2,39,18.71,4.93,4.43,1,Suburban,Standard,849604.0
2903,3,1,2,15,12.56,2.39,7.48,0,Family,Needs Work,604762.0
1682,2,1,1,0,28.94,2.24,6.76,1,Suburban,Standard,317780.0
2857,1,3,3,26,6.36,9.92,8.09,0,Premium,Standard,734617.0
2478,3,4,3,22,4.52,5.95,9.07,2,Family,Standard,645250.0
3864,2,1,1,25,18.1,4.84,7.12,3,Suburban,Standard,858745.0
1558,3,2,3,30,23.84,4.2,1.61,1,Suburban,Standard,359806.0
4169,4,1,1,19,28.05,9.84,2.65,3,Suburban,Standard,1059504.0
3972,5,4,2,33,21.05,4.02,9.59,3,Urban,Renovated,884175.0
1291,3,2,3,14,27.31,7.81,9.72,0,Urban,Renovated,322201.0
1234,1,4,1,21,14.35,4.27,9.71,2,Urban,Standard,237050.0
2542,2,1,2,6,2.12,2.56,1.33,2,Family,Standard,648952.0
809,5,1,1,24,4.95,7.47,4.44,1,Premium,Standard,365764.0
1710,3,3,3,10,2.32,2.01,7.84,3,Suburban,Renovated,473579.0
2194,4,3,2,27,12.18,7.41,7.78,1,Urban,Renovated,650588.0
4091,3,4,2,32,17.85,4.0,1.77,0,Premium,Needs Work,968296.0
4172,1,4,3,34,13.11,7.97,6.49,2,Family,Standard,965233.0
1187,5,4,2,37,20.06,8.16,2.29,0,Suburban,Standard,427805.0
3815,4,3,3,4,17.34,7.79,5.44,1,Suburban,Standard,1018177.0
972,5,2,1,5,24.05,2.2,3.16,2,Family,Standard,307855.0
