tenure_months,monthly_charges,support_calls,internet_service,contract_type,payment_method,tech_support,paperless_billing,senior_citizen,churn
42,100.68,4,Fiber,One year,Electronic check,No,Yes,0,1
9,112.5,0,DSL,Month-to-month,Electronic check,Yes,No,0,1
62,120.83,4,Fiber,One year,Credit card,Yes,Yes,0,1
55,66.12,0,None,Month-to-month,Electronic check,No,Yes,0,1
9,116.04,0,Fiber,Month-to-month,Electronic check,No,No,1,1
9,116.26,3,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
8,121.83,3,DSL,Month-to-month,Electronic check,No,No,0,1
25,120.8,3,None,Two year,Bank transfer,No,Yes,0,1
60,76.01,4,DSL,One year,Electronic check,No,No,0,1
22,82.34,7,Fiber,Two year,Credit card,Yes,Yes,0,1
50,81.37,7,DSL,One year,Credit card,Yes,Yes,0,1
40,61.59,5,None,Month-to-month,Credit card,No,Yes,0,1
43,125.77,0,Fiber,Month-to-month,Mailed check,No,Yes,0,1
4,25.69,3,DSL,Two year,Bank transfer,No,No,0,1
49,52.07,0,DSL,Month-to-month,Bank transfer,No,Yes,0,1
33,128.27,0,None,Month-to-month,Electronic check,No,No,0,1
10,23.51,3,None,One year,Electronic check,No,Yes,0,0
40,41.48,0,Fiber,One year,Electronic check,Yes,Yes,0,1
44,100.99,4,Fiber,Two year,Mailed check,No,Yes,0,1
9,51.86,7,DSL,Month-to-month,Bank transfer,Yes,No,0,1
36,42.39,0,Fiber,One year,Credit card,Yes,No,1,1
25,93.13,3,None,Month-to-month,Bank transfer,Yes,Yes,0,1
54,55.75,1,None,Two year,Credit card,Yes,No,0,1
36,37.46,3,Fiber,Month-to-month,Electronic check,No,Yes,1,1
3,81.79,4,Fiber,Two year,Electronic check,Yes,Yes,0,1
22,119.73,7,Fiber,Month-to-month,Credit card,No,Yes,1,1
40,123.68,1,DSL,Two year,Credit card,Yes,Yes,0,1
30,95.73,7,None,Month-to-month,Bank transfer,No,Yes,1,1
19,41.06,1,DSL,One year,Credit card,Yes,No,0,1
30,79.54,6,Fiber,Month-to-month,Electronic check,No,Yes,0,1
24,68.76,2,Fiber,One year,Credit card,Yes,Yes,0,1
7,55.06,0,DSL,Month-to-month,Electronic check,Yes,No,0,1
50,24.91,0,DSL,Month-to-month,Mailed check,No,No,0,1
42,58.99,5,DSL,One year,Electronic check,Yes,Yes,0,1
38,35.2,4,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
6,22.5,2,Fiber,One year,Bank transfer,Yes,Yes,0,1
48,127.16,7,Fiber,One year,Credit card,No,Yes,0,1
42,129.68,3,DSL,Month-to-month,Bank transfer,Yes,No,0,1
58,35.83,5,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
6,74.98,2,Fiber,One year,Credit card,No,No,0,0
24,99.89,5,DSL,One year,Electronic check,Yes,No,1,1
39,54.55,0,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
10,64.31,6,Fiber,One year,Bank transfer,No,Yes,1,1
61,103.23,4,DSL,One year,Credit card,Yes,Yes,0,1
18,117.29,6,Fiber,One year,Electronic check,No,Yes,0,1
21,88.96,6,DSL,One year,Credit card,No,No,0,1
28,94.08,4,DSL,Two year,Electronic check,No,Yes,0,1
6,35.46,3,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
13,77.68,7,Fiber,Two year,Bank transfer,Yes,Yes,0,1
23,58.06,3,DSL,Month-to-month,Credit card,Yes,Yes,1,1
15,71.82,4,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
31,45.94,6,None,One year,Electronic check,Yes,Yes,1,1
46,71.96,2,None,Month-to-month,Electronic check,No,Yes,1,1
44,45.26,2,Fiber,Month-to-month,Electronic check,No,Yes,0,1
62,48.97,3,None,Month-to-month,Electronic check,Yes,Yes,0,1
11,97.76,5,DSL,Month-to-month,Mailed check,No,Yes,0,1
46,31.6,1,Fiber,Two year,Electronic check,No,Yes,0,1
1,52.99,2,DSL,Month-to-month,Mailed check,No,Yes,0,1
1,58.61,3,DSL,Month-to-month,Electronic check,No,No,0,1
60,36.08,1,Fiber,One year,Credit card,No,Yes,1,1
27,38.55,5,Fiber,Two year,Electronic check,No,No,0,1
33,73.34,4,DSL,One year,Credit card,Yes,Yes,0,1
62,72.85,5,DSL,Month-to-month,Mailed check,No,No,0,1
41,22.57,7,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
50,53.06,6,None,Month-to-month,Bank transfer,No,Yes,0,1
57,84.22,4,Fiber,Month-to-month,Credit card,No,No,0,1
47,115.85,7,DSL,Two year,Credit card,No,Yes,0,1
55,80.96,7,Fiber,Two year,Electronic check,Yes,Yes,0,1
10,125.46,7,Fiber,Month-to-month,Credit card,Yes,Yes,1,1
62,22.74,3,None,One year,Electronic check,Yes,Yes,0,1
30,72.45,1,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
23,62.28,2,Fiber,Month-to-month,Credit card,No,Yes,0,1
12,113.44,5,DSL,Month-to-month,Bank transfer,No,Yes,0,1
14,119.0,3,Fiber,Two year,Credit card,Yes,No,0,1
11,71.58,7,Fiber,Month-to-month,Mailed check,No,Yes,0,1
1,63.93,5,Fiber,One year,Mailed check,Yes,No,0,1
20,88.79,0,DSL,Month-to-month,Electronic check,No,Yes,0,1
29,30.71,0,Fiber,Month-to-month,Credit card,Yes,No,1,1
68,25.29,2,Fiber,One year,Bank transfer,No,No,0,1
44,117.56,0,Fiber,Two year,Credit card,No,Yes,0,1
54,98.71,4,None,One year,Electronic check,No,Yes,0,1
41,47.22,1,DSL,Two year,Credit card,Yes,Yes,0,0
57,85.32,2,DSL,One year,Electronic check,Yes,Yes,0,1
63,25.34,6,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
64,63.42,6,DSL,One year,Credit card,No,No,0,1
59,86.36,6,DSL,Month-to-month,Mailed check,No,No,0,1
50,96.46,5,DSL,One year,Credit card,Yes,No,0,1
36,85.01,3,DSL,Two year,Bank transfer,No,Yes,0,1
13,36.14,7,Fiber,Two year,Credit card,Yes,Yes,0,1
9,122.31,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
67,108.12,6,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
36,39.05,4,DSL,Two year,Electronic check,Yes,Yes,1,1
58,46.28,2,DSL,One year,Electronic check,Yes,Yes,0,0
66,120.32,3,Fiber,Month-to-month,Bank transfer,Yes,Yes,1,1
6,34.43,1,DSL,Month-to-month,Electronic check,No,Yes,0,1
63,108.29,1,Fiber,One year,Electronic check,No,No,0,0
21,119.6,0,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
48,83.92,6,DSL,Month-to-month,Electronic check,No,No,0,1
33,125.75,6,Fiber,Month-to-month,Mailed check,No,Yes,0,1
47,34.9,6,Fiber,Two year,Mailed check,No,Yes,0,1
35,86.78,6,Fiber,Month-to-month,Credit card,No,Yes,0,1
59,42.21,6,Fiber,Two year,Electronic check,No,Yes,0,1
68,86.21,1,None,Two year,Electronic check,No,No,0,1
49,113.16,0,None,Month-to-month,Electronic check,Yes,Yes,0,1
30,22.6,2,Fiber,Two year,Mailed check,Yes,Yes,0,1
45,109.77,7,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
12,79.54,2,DSL,Month-to-month,Mailed check,No,Yes,0,1
29,71.41,0,Fiber,Two year,Electronic check,No,Yes,0,0
53,25.2,6,DSL,One year,Electronic check,Yes,Yes,1,1
29,56.07,5,DSL,Month-to-month,Electronic check,No,Yes,0,1
71,105.34,7,DSL,Month-to-month,Electronic check,No,Yes,0,1
35,32.46,7,DSL,Month-to-month,Electronic check,Yes,Yes,1,1
63,24.16,3,Fiber,Month-to-month,Mailed check,Yes,No,1,1
63,29.59,6,DSL,One year,Electronic check,Yes,Yes,0,1
17,72.43,4,Fiber,One year,Credit card,No,Yes,0,1
46,88.4,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
68,26.8,5,DSL,One year,Bank transfer,No,Yes,0,0
59,103.04,0,DSL,Two year,Mailed check,No,Yes,0,1
35,103.69,5,None,Two year,Credit card,Yes,Yes,0,1
36,34.28,3,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
57,115.84,7,Fiber,Two year,Electronic check,No,Yes,0,1
39,76.77,2,Fiber,Two year,Electronic check,Yes,Yes,0,1
39,22.09,1,Fiber,Two year,Electronic check,No,Yes,0,0
50,64.44,1,None,Month-to-month,Bank transfer,No,Yes,0,0
71,92.73,5,DSL,Month-to-month,Mailed check,Yes,Yes,0,1
50,77.53,2,Fiber,Two year,Bank transfer,No,No,1,1
36,92.68,5,Fiber,Month-to-month,Electronic check,No,Yes,1,1
16,25.56,1,Fiber,Month-to-month,Credit card,No,Yes,0,1
21,114.24,0,DSL,Month-to-month,Credit card,No,No,1,1
66,100.58,0,Fiber,Two year,Mailed check,Yes,Yes,0,1
60,103.01,0,None,One year,Credit card,No,Yes,0,0
16,113.87,3,Fiber,Month-to-month,Mailed check,Yes,No,0,1
26,62.09,4,Fiber,Two year,Electronic check,Yes,Yes,1,1
47,72.81,7,None,Month-to-month,Electronic check,No,Yes,0,1
46,20.74,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
26,39.19,0,Fiber,Month-to-month,Credit card,No,No,0,1
51,90.22,0,DSL,Month-to-month,Bank transfer,No,Yes,1,1
20,83.08,2,DSL,One year,Electronic check,No,Yes,0,1
64,58.05,1,None,Month-to-month,Mailed check,No,No,0,1
71,67.27,7,DSL,One year,Bank transfer,Yes,No,0,1
20,104.57,7,Fiber,One year,Bank transfer,Yes,Yes,0,1
49,101.55,2,DSL,Month-to-month,Mailed check,Yes,No,0,1
40,78.19,6,Fiber,Month-to-month,Credit card,No,Yes,0,1
21,86.31,5,Fiber,Two year,Electronic check,No,Yes,0,1
45,119.11,6,DSL,One year,Bank transfer,Yes,No,0,1
52,22.76,6,Fiber,Two year,Electronic check,Yes,Yes,0,1
37,100.93,0,None,Two year,Electronic check,No,Yes,0,1
54,110.63,0,Fiber,Month-to-month,Electronic check,No,No,0,1
68,121.98,4,Fiber,Two year,Mailed check,No,No,0,1
26,59.55,1,Fiber,Two year,Credit card,Yes,Yes,1,1
26,66.93,0,DSL,Month-to-month,Mailed check,No,No,0,1
67,88.31,5,DSL,Month-to-month,Electronic check,No,Yes,0,1
57,70.89,3,Fiber,Two year,Electronic check,Yes,No,0,1
69,124.46,1,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
55,48.63,7,Fiber,One year,Bank transfer,No,Yes,0,1
19,22.07,2,None,One year,Bank transfer,No,Yes,0,1
41,93.01,5,Fiber,One year,Electronic check,Yes,No,0,1
52,123.08,7,DSL,One year,Mailed check,No,No,0,1
27,128.62,0,DSL,One year,Bank transfer,No,No,0,1
15,23.75,0,Fiber,Two year,Credit card,Yes,Yes,0,1
53,21.17,3,DSL,Month-to-month,Electronic check,No,No,0,1
16,61.44,6,DSL,Month-to-month,Bank transfer,No,Yes,0,1
69,79.2,2,DSL,One year,Credit card,No,Yes,0,1
55,60.97,1,Fiber,Month-to-month,Mailed check,No,No,0,1
57,23.76,4,None,Month-to-month,Electronic check,Yes,Yes,0,1
68,93.99,1,DSL,Two year,Credit card,Yes,Yes,0,1
66,65.5,4,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
36,93.58,7,DSL,One year,Bank transfer,Yes,Yes,0,1
27,24.99,4,DSL,Two year,Electronic check,No,Yes,0,1
23,91.61,3,DSL,Month-to-month,Credit card,No,Yes,1,1
52,96.24,4,DSL,One year,Bank transfer,No,No,0,1
21,115.67,4,Fiber,One year,Credit card,No,No,1,1
50,116.94,2,Fiber,Two year,Electronic check,No,Yes,1,1
33,39.12,0,Fiber,Month-to-month,Electronic check,No,Yes,0,1
17,56.28,0,Fiber,Month-to-month,Electronic check,No,No,0,1
46,117.55,2,DSL,Month-to-month,Credit card,No,Yes,0,1
11,87.78,3,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
66,31.79,3,Fiber,Month-to-month,Credit card,No,Yes,0,1
21,67.64,0,Fiber,Two year,Bank transfer,No,Yes,1,1
54,96.65,6,Fiber,Two year,Mailed check,No,Yes,0,1
40,71.04,6,Fiber,Month-to-month,Electronic check,Yes,Yes,1,1
63,109.41,0,Fiber,Month-to-month,Mailed check,Yes,No,0,1
53,71.12,3,DSL,One year,Credit card,No,No,0,1
54,97.43,1,DSL,One year,Electronic check,No,Yes,0,1
39,103.74,4,None,Month-to-month,Credit card,Yes,Yes,0,1
31,62.97,7,Fiber,Month-to-month,Mailed check,No,Yes,0,1
7,48.19,5,None,Month-to-month,Mailed check,No,Yes,0,1
68,57.55,7,None,Month-to-month,Electronic check,No,No,0,1
40,68.12,2,DSL,Two year,Electronic check,Yes,No,0,1
44,129.78,6,DSL,Two year,Mailed check,No,Yes,0,1
65,99.52,2,Fiber,One year,Credit card,Yes,No,1,1
33,112.66,3,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
3,31.44,2,DSL,Two year,Electronic check,No,No,0,1
49,126.93,3,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
13,35.27,7,Fiber,Month-to-month,Mailed check,No,No,0,1
54,34.78,1,DSL,Two year,Credit card,Yes,Yes,0,0
49,76.28,0,DSL,Month-to-month,Bank transfer,No,No,1,1
41,77.52,6,Fiber,One year,Electronic check,No,Yes,0,1
30,31.93,2,None,One year,Bank transfer,Yes,No,0,1
35,100.42,4,Fiber,One year,Bank transfer,Yes,Yes,0,1
14,80.46,2,DSL,Two year,Bank transfer,No,Yes,0,1
65,57.21,1,DSL,Month-to-month,Electronic check,No,Yes,1,1
19,115.48,0,Fiber,Month-to-month,Mailed check,No,No,0,1
37,105.08,6,Fiber,Month-to-month,Mailed check,No,No,0,1
7,121.83,1,Fiber,One year,Mailed check,No,Yes,0,1
39,40.89,0,Fiber,Month-to-month,Mailed check,No,No,0,1
65,120.39,0,None,Two year,Electronic check,No,Yes,0,1
67,67.24,6,DSL,One year,Credit card,No,No,0,1
41,48.87,5,Fiber,Month-to-month,Credit card,No,Yes,0,1
69,36.36,1,DSL,Two year,Credit card,Yes,No,0,0
5,25.29,3,DSL,One year,Electronic check,Yes,Yes,0,1
47,108.69,5,None,Month-to-month,Mailed check,Yes,Yes,0,1
57,117.99,6,DSL,One year,Credit card,Yes,Yes,0,1
31,64.92,3,DSL,Month-to-month,Credit card,No,No,0,1
36,117.64,0,None,Month-to-month,Bank transfer,Yes,No,0,1
11,89.94,3,DSL,Month-to-month,Bank transfer,No,No,0,1
34,93.6,6,Fiber,Month-to-month,Bank transfer,Yes,No,0,1
8,67.19,7,Fiber,Two year,Bank transfer,Yes,Yes,1,1
62,104.63,3,DSL,One year,Mailed check,Yes,Yes,0,1
22,45.0,3,DSL,One year,Electronic check,No,Yes,0,1
19,88.79,7,None,Two year,Credit card,Yes,Yes,0,1
1,20.67,4,DSL,One year,Credit card,No,Yes,1,1
3,59.94,6,Fiber,One year,Electronic check,Yes,No,1,1
61,38.74,3,Fiber,One year,Bank transfer,No,Yes,1,1
27,120.09,1,Fiber,Month-to-month,Electronic check,No,Yes,0,1
16,114.79,2,Fiber,One year,Electronic check,Yes,No,0,1
70,77.2,2,Fiber,Month-to-month,Electronic check,Yes,Yes,1,1
12,79.53,2,DSL,Two year,Electronic check,Yes,Yes,0,1
8,129.72,0,Fiber,Two year,Electronic check,No,No,0,1
35,20.62,5,DSL,Month-to-month,Electronic check,Yes,No,1,1
2,67.95,4,DSL,Month-to-month,Bank transfer,No,No,1,1
46,118.29,5,None,Month-to-month,Credit card,No,Yes,0,1
11,118.92,4,None,Two year,Electronic check,No,Yes,0,1
3,49.8,0,Fiber,Month-to-month,Bank transfer,Yes,Yes,1,1
64,98.66,5,Fiber,Two year,Electronic check,No,Yes,0,1
10,90.62,7,None,One year,Credit card,Yes,Yes,0,1
35,85.55,1,Fiber,One year,Credit card,No,Yes,0,0
69,68.76,0,Fiber,Month-to-month,Bank transfer,No,No,0,1
69,44.82,7,Fiber,Month-to-month,Bank transfer,No,Yes,1,1
44,98.81,1,Fiber,Two year,Mailed check,No,Yes,1,1
61,79.0,4,DSL,Month-to-month,Electronic check,Yes,Yes,1,1
67,22.06,5,Fiber,One year,Electronic check,No,Yes,0,1
48,93.5,3,DSL,Month-to-month,Bank transfer,No,Yes,0,1
15,39.59,3,Fiber,Month-to-month,Electronic check,No,Yes,0,1
22,62.19,6,DSL,Month-to-month,Credit card,No,Yes,1,1
57,37.83,1,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
69,108.16,1,DSL,One year,Bank transfer,No,Yes,0,1
11,49.81,4,DSL,Month-to-month,Bank transfer,No,No,0,1
63,51.21,4,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
45,37.1,2,DSL,Month-to-month,Electronic check,No,Yes,1,1
21,72.76,7,DSL,One year,Mailed check,No,Yes,0,1
58,42.02,6,DSL,Month-to-month,Mailed check,No,Yes,0,1
4,90.99,3,Fiber,One year,Credit card,Yes,Yes,0,1
12,70.92,7,Fiber,One year,Mailed check,No,No,0,1
51,83.43,5,Fiber,One year,Credit card,No,No,0,1
7,126.28,0,DSL,Month-to-month,Bank transfer,No,No,1,1
57,96.49,4,DSL,Month-to-month,Bank transfer,No,Yes,0,1
46,81.07,1,Fiber,Month-to-month,Credit card,No,Yes,0,1
43,111.08,3,Fiber,Month-to-month,Bank transfer,No,No,1,1
35,28.88,0,Fiber,One year,Electronic check,No,Yes,0,1
26,51.48,3,DSL,Two year,Bank transfer,Yes,Yes,0,1
39,126.52,7,Fiber,Month-to-month,Bank transfer,No,No,0,1
71,49.46,4,Fiber,Month-to-month,Credit card,Yes,No,0,1
50,54.19,6,Fiber,Month-to-month,Mailed check,Yes,Yes,0,1
56,35.75,2,Fiber,Two year,Credit card,No,No,0,1
61,37.86,5,Fiber,Month-to-month,Mailed check,No,Yes,0,1
57,32.14,3,Fiber,One year,Mailed check,Yes,Yes,0,1
46,116.11,7,Fiber,One year,Bank transfer,No,Yes,0,1
62,87.86,4,Fiber,Two year,Bank transfer,Yes,Yes,0,1
60,126.36,2,Fiber,Month-to-month,Mailed check,No,Yes,1,1
25,63.05,6,DSL,Two year,Electronic check,No,Yes,0,1
70,120.7,5,Fiber,One year,Electronic check,Yes,No,0,1
14,70.22,1,DSL,One year,Electronic check,No,Yes,0,1
71,44.85,3,Fiber,Month-to-month,Credit card,No,Yes,0,1
1,103.97,1,Fiber,Two year,Mailed check,No,Yes,0,1
28,80.3,3,None,Month-to-month,Electronic check,No,Yes,0,1
52,125.2,3,Fiber,One year,Bank transfer,No,Yes,1,1
18,71.97,3,None,Month-to-month,Credit card,No,Yes,0,1
16,34.45,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
62,28.91,4,Fiber,One year,Credit card,No,No,0,1
66,32.71,6,DSL,Month-to-month,Electronic check,Yes,No,0,1
24,89.25,1,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
21,98.06,2,DSL,Month-to-month,Credit card,Yes,Yes,0,1
58,118.58,0,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
51,93.31,4,Fiber,One year,Credit card,Yes,No,0,1
15,79.06,1,Fiber,Month-to-month,Electronic check,No,No,0,1
12,111.21,2,DSL,Month-to-month,Electronic check,No,Yes,0,1
13,52.26,6,DSL,Month-to-month,Electronic check,No,No,0,1
7,95.84,3,None,Month-to-month,Bank transfer,Yes,Yes,0,1
31,28.14,5,None,Month-to-month,Credit card,No,Yes,1,1
66,66.77,5,None,Two year,Electronic check,Yes,Yes,0,1
28,107.32,3,Fiber,One year,Electronic check,No,Yes,0,1
16,23.29,1,None,Month-to-month,Bank transfer,No,Yes,0,1
6,106.48,4,Fiber,Month-to-month,Credit card,No,Yes,0,1
56,102.16,5,Fiber,One year,Mailed check,No,Yes,0,1
69,123.49,3,DSL,Month-to-month,Mailed check,No,Yes,0,1
12,119.71,3,Fiber,One year,Credit card,No,Yes,0,1
24,27.93,1,DSL,One year,Electronic check,Yes,Yes,0,1
23,75.7,5,DSL,Month-to-month,Electronic check,No,No,1,1
9,41.94,1,DSL,One year,Bank transfer,Yes,Yes,1,1
16,113.38,1,DSL,Two year,Credit card,Yes,No,1,1
18,127.09,4,None,Two year,Bank transfer,No,Yes,0,1
30,56.28,0,DSL,Month-to-month,Electronic check,No,Yes,0,1
6,57.56,2,Fiber,One year,Mailed check,Yes,No,0,1
58,101.57,2,Fiber,Month-to-month,Mailed check,No,Yes,0,1
40,57.09,7,Fiber,Month-to-month,Electronic check,No,Yes,0,1
50,24.65,1,Fiber,Month-to-month,Bank transfer,No,No,0,1
57,33.99,5,Fiber,Month-to-month,Electronic check,Yes,No,1,1
2,81.08,3,Fiber,Month-to-month,Electronic check,No,No,0,1
48,57.81,5,Fiber,One year,Bank transfer,No,Yes,0,1
13,66.79,5,Fiber,One year,Mailed check,Yes,No,0,1
29,117.47,7,None,Month-to-month,Electronic check,Yes,Yes,0,1
68,26.42,3,Fiber,Two year,Bank transfer,Yes,No,0,1
56,42.28,1,None,One year,Bank transfer,No,No,1,1
71,102.12,2,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
30,102.27,0,Fiber,Month-to-month,Credit card,No,Yes,0,1
43,92.52,2,Fiber,Month-to-month,Credit card,No,No,0,1
1,93.94,5,DSL,One year,Electronic check,No,Yes,0,1
29,37.43,4,Fiber,Two year,Electronic check,No,No,0,1
29,124.82,6,DSL,One year,Electronic check,Yes,No,1,1
64,98.37,1,Fiber,One year,Bank transfer,No,No,0,1
9,24.79,6,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
15,128.07,5,Fiber,Month-to-month,Bank transfer,Yes,No,0,1
11,69.21,5,Fiber,Month-to-month,Credit card,Yes,Yes,1,1
30,85.14,7,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
11,56.39,1,None,Month-to-month,Electronic check,No,Yes,0,1
39,31.85,0,DSL,Two year,Electronic check,No,No,0,1
22,40.67,4,DSL,Month-to-month,Bank transfer,Yes,No,0,1
37,81.75,4,None,Month-to-month,Bank transfer,Yes,Yes,0,1
24,94.8,6,Fiber,Month-to-month,Electronic check,No,Yes,0,1
67,105.05,2,DSL,One year,Credit card,No,No,0,1
42,67.15,0,DSL,Two year,Electronic check,Yes,Yes,1,1
28,104.19,2,DSL,Month-to-month,Electronic check,Yes,Yes,0,1
67,63.08,5,Fiber,One year,Electronic check,Yes,Yes,0,1
27,38.7,1,DSL,Month-to-month,Electronic check,No,No,0,1
42,67.75,2,Fiber,Month-to-month,Electronic check,No,No,0,1
56,112.51,3,Fiber,Two year,Credit card,Yes,No,0,1
60,50.14,2,DSL,Month-to-month,Mailed check,No,No,0,1
61,23.88,5,Fiber,Two year,Bank transfer,Yes,Yes,0,1
70,95.52,6,DSL,Two year,Mailed check,Yes,Yes,0,0
11,128.34,2,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
38,126.96,2,Fiber,Two year,Mailed check,No,No,0,1
57,121.58,6,DSL,Month-to-month,Credit card,No,Yes,0,1
8,22.32,0,DSL,Month-to-month,Bank transfer,No,No,0,1
52,33.19,4,Fiber,Month-to-month,Electronic check,No,No,0,1
4,98.16,2,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
57,125.1,4,None,One year,Electronic check,No,Yes,0,1
60,54.95,2,DSL,Month-to-month,Electronic check,No,No,0,1
53,45.11,0,DSL,One year,Credit card,No,Yes,0,0
45,70.56,4,Fiber,Month-to-month,Electronic check,No,Yes,0,1
25,121.31,6,DSL,Month-to-month,Credit card,No,No,0,1
36,116.62,1,Fiber,Two year,Electronic check,Yes,Yes,0,1
50,74.02,7,DSL,Two year,Mailed check,No,Yes,0,1
52,55.18,4,Fiber,Two year,Mailed check,No,Yes,0,1
8,81.6,5,DSL,Month-to-month,Credit card,No,No,0,1
1,73.89,3,DSL,Month-to-month,Credit card,No,Yes,0,1
64,100.54,7,Fiber,Month-to-month,Bank transfer,Yes,Yes,0,1
61,65.85,1,None,Month-to-month,Electronic check,Yes,Yes,0,1
29,93.49,2,None,Month-to-month,Bank transfer,No,Yes,1,1
52,27.93,6,Fiber,Two year,Credit card,No,No,0,1
